iter	Passed	Remaining
0	52	2588
1	116	2801
2	170	2674
3	269	3098
4	348	3132
5	401	2945
6	445	2738
7	487	2559
8	546	2487
9	588	2353
10	652	2312
11	716	2270
12	892	2539
13	1030	2649
14	1068	2492
15	1110	2360
16	1169	2269
17	1214	2159
18	1251	2042
19	1292	1938
20	1335	1844
21	1383	1761
22	1426	1675
23	1469	1592
24	1510	1510
25	1548	1429
26	1590	1354
27	1631	1282
28	1687	1221
29	1732	1155
30	1760	1078
31	1802	1013
32	1842	949
33	1890	889
34	1941	832
35	1980	770
36	2023	711
37	2066	652
38	2113	596
39	2155	538
40	2197	482
41	2240	426
42	2279	371
43	2302	313
44	2345	260
45	2380	206
46	2411	153
47	2452	102
48	2488	50
49	2525	0
